Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Selected
435,SAT_200,"Dubai, UAE",71.35,1727.2,188.2,YES
436,SAT_006,"Zallaq, Bahrain",87.41,1910.4,25.3,YES
437,SAT_049,"Mwulire, Rwanda",83.13,1861.6,66.8,YES
438,SAT_049,"Mwulire, Rwanda",46.44,1442.9,508.5,YES
439,SAT_071,"Pretoria, South Africa",72.49,1740.1,176.5,YES
440,SAT_071,"Pretoria, South Africa",64.7,1651.2,263.2,YES
441,SAT_148,Singapore,67.8,1686.6,224.2,YES
442,SAT_073,"Cape Town, South Africa",79.24,1817.3,106.9,YES
443,SAT_073,"Cape Town, South Africa",59.54,1592.4,327.1,YES
444,SAT_043,"Accra, Ghana",63.88,1641.9,268.1,YES
445,SAT_043,"Accra, Ghana",71.96,1734.1,179.0,YES
446,SAT_128,"Mingenew, Australia",84.81,1880.8,50.9,YES
447,SAT_013,"Dublin, Ireland",73.0,1745.9,170.9,YES
448,SAT_003,"Sodankylä, Finland",71.58,1729.8,187.2,YES
449,SAT_168,"Seoul, South Korea",80.51,1831.7,92.8,YES
450,SAT_133,"Alice Springs, Australia",74.02,1757.7,159.3,YES
451,SAT_133,"Alice Springs, Australia",66.9,1676.4,236.4,YES
452,SAT_170,"Chitose, Japan",71.22,1725.7,188.7,YES
453,SAT_170,"Obihiro, Japan",81.75,1845.8,80.8,YES
454,SAT_129,"Dubbo, Australia",83.24,1862.9,66.5,YES
455,SAT_129,"Dubbo, Australia",58.17,1576.8,343.4,YES
456,SAT_191,"Utqiagvik, USA",49.29,1475.4,473.0,YES
457,SAT_191,"Utqiagvik, USA",83.03,1860.4,69.2,YES
458,SAT_192,"Deadhorse, USA",78.89,1813.2,111.1,YES
459,SAT_191,"North Pole, USA",81.82,1846.7,81.3,YES
460,SAT_066,"Cordoba, Argentina",66.6,1673.0,242.1,YES
461,SAT_019,"Columbus, USA",52.39,1510.8,421.8,YES
462,SAT_019,"Columbus, USA",88.18,1919.2,17.8,YES
463,SAT_022,"Pendergrass, USA",83.46,1865.4,64.2,YES
464,SAT_001,"Portland, USA",63.46,1637.2,260.0,YES
465,SAT_200,"Portland, USA",78.76,1811.8,112.2,YES
466,SAT_200,"Portland, USA",46.31,1441.4,520.4,YES
467,SAT_005,"Mojave, USA",77.68,1799.4,123.1,YES
468,SAT_168,"Kapolei, USA",79.61,1821.4,102.7,YES
