Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Aggregated_Rate_Mbps,Simultaneous_Count
44,SAT_014,"Harmon, Guam",43.35,1407.6,567.1,3372.7,3
44,SAT_092,"Dubbo, Australia",6.66,989.0,2054.3,3372.7,3
44,SAT_081,"Alice Springs, Australia",5.54,976.2,2146.4,3372.7,3
45,SAT_016,"Harmon, Guam",74.09,1758.5,158.7,3849.5,3
45,SAT_091,"Dubbo, Australia",12.41,1054.6,1634.9,3849.5,3
45,SAT_080,"Alice Springs, Australia",10.82,1036.5,1735.1,3849.5,3
46,SAT_018,"Harmon, Guam",65.1,1655.9,256.8,3920.6,3
46,SAT_091,"Dubbo, Australia",20.42,1146.0,1214.9,3920.6,3
46,SAT_078,"Alice Springs, Australia",18.04,1118.8,1318.4,3920.6,3
47,SAT_019,"Harmon, Guam",37.7,1343.1,676.5,3878.5,3
47,SAT_091,"Dubbo, Australia",33.05,1290.1,795.4,3878.5,3
47,SAT_077,"Alice Springs, Australia",29.12,1245.3,898.6,3878.5,3
48,SAT_091,"Dubbo, Australia",55.82,1550.0,377.2,5247.4,4
48,SAT_076,"Alice Springs, Australia",48.81,1469.9,477.0,5247.4,4
48,SAT_020,"Harmon, Guam",22.92,1174.5,1099.3,5247.4,4
48,SAT_003,"Obihiro, Japan",12.27,1052.9,1635.0,5247.4,4
49,SAT_091,"Dubbo, Australia",83.42,1864.9,65.4,8053.9,6
49,SAT_075,"Alice Springs, Australia",82.35,1852.7,75.4,8053.9,6
49,SAT_003,"Obihiro, Japan",20.24,1143.9,1214.3,8053.9,6
49,SAT_021,"Harmon, Guam",13.96,1072.2,1524.6,8053.9,6
49,SAT_012,"Seoul, South Korea",13.54,1067.5,1553.2,8053.9,6
49,SAT_105,"Awarua, New Zeland",12.25,1052.7,1650.2,8053.9,6
50,SAT_075,"Alice Springs, Australia",55.91,1551.0,373.7,10849.7,9
50,SAT_091,"Dubbo, Australia",49.77,1480.9,466.6,10849.7,9
50,SAT_003,"Obihiro, Japan",32.84,1287.7,794.1,10849.7,9
50,SAT_008,"Chitose, Japan",24.77,1195.6,1035.6,10849.7,9
50,SAT_013,"Seoul, South Korea",22.2,1166.2,1130.1,10849.7,9
50,SAT_102,"Awarua, New Zeland",21.22,1155.1,1186.3,10849.7,9
50,SAT_166,"Kapolei, USA",9.53,1021.7,1810.4,10849.7,9
50,SAT_025,"Harmon, Guam",7.46,998.0,1969.6,10849.7,9
50,SAT_172,"Paumalu, USA",7.05,993.4,2004.3,10849.7,9
51,SAT_003,"Obihiro, Japan",55.71,1548.7,375.1,11326.9,9
51,SAT_006,"Chitose, Japan",45.89,1436.6,523.1,11326.9,9
51,SAT_013,"Seoul, South Korea",36.56,1330.1,702.8,11326.9,9
51,SAT_103,"Awarua, New Zeland",33.73,1297.9,782.1,11326.9,9
51,SAT_074,"Alice Springs, Australia",32.67,1285.8,801.2,11326.9,9
51,SAT_091,"Dubbo, Australia",29.95,1254.7,884.2,11326.9,9
51,SAT_165,"Kapolei, USA",15.6,1090.9,1428.3,11326.9,9
51,SAT_170,"Paumalu, USA",12.71,1058.0,1597.8,11326.9,9
51,SAT_045,Singapore,9.73,1024.0,1791.6,11326.9,9
52,SAT_004,"Chitose, Japan",85.71,1891.0,42.1,14978.8,11
52,SAT_003,"Obihiro, Japan",83.23,1862.8,66.6,14978.8,11
52,SAT_013,"Seoul, South Korea",63.2,1634.2,279.4,14978.8,11
52,SAT_103,"Awarua, New Zeland",56.18,1554.0,374.6,14978.8,11
52,SAT_071,"Mingenew, Australia",38.34,1350.5,667.3,14978.8,11
52,SAT_164,"Kapolei, USA",24.26,1189.8,1045.2,14978.8,11
52,SAT_168,"Paumalu, USA",20.86,1151.0,1178.9,14978.8,11
52,SAT_091,"Dubbo, Australia",18.69,1126.2,1302.1,14978.8,11
52,SAT_046,Singapore,17.04,1107.4,1350.5,14978.8,11
52,SAT_080,"Alice Springs, Australia",15.92,1094.6,1433.7,14978.8,11
52,SAT_133,"Tahiti, French Polynesia",9.15,1017.4,1841.6,14978.8,11
