Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Selected
675,SAT_121,"Kapolei, USA",8.16,85.4,1942.3,YES
676,SAT_121,"Kapolei, USA",13.95,150.1,1549.2,YES
677,SAT_121,"Kapolei, USA",21.97,239.7,1157.1,YES
678,SAT_122,"Kapolei, USA",34.5,379.7,763.9,YES
679,SAT_122,"Kapolei, USA",56.44,624.9,371.2,YES
680,SAT_122,"Paumalu, USA",89.31,992.3,6.8,YES
681,SAT_060,"Harmon, Guam",87.33,970.2,26.5,YES
682,SAT_163,"Tahiti, French Polynesia",64.68,717.0,268.8,YES
683,SAT_017,"Dubbo, Australia",76.83,852.8,135.5,YES
684,SAT_001,"Awarua, New Zeland",84.42,937.6,64.3,YES
685,SAT_079,"Obihiro, Japan",72.28,802.0,183.1,YES
686,SAT_079,"Chitose, Japan",76.48,848.9,138.3,YES
687,SAT_072,"Seoul, South Korea",78.65,873.1,115.1,YES
688,SAT_072,"Seoul, South Korea",60.5,670.3,320.8,YES
689,SAT_029,"Mingenew, Australia",78.72,874.0,115.0,YES
690,SAT_105,"North Pole, USA",75.54,838.4,149.6,YES
691,SAT_102,"Utqiagvik, USA",79.33,880.7,109.6,YES
692,SAT_103,"Deadhorse, USA",66.35,735.7,253.1,YES
693,SAT_103,"Deadhorse, USA",40.26,444.0,650.6,YES
694,SAT_103,"Deadhorse, USA",25.35,277.4,1052.7,YES
695,SAT_124,"Columbus, USA",17.15,185.8,1385.7,YES
696,SAT_124,"Columbus, USA",26.59,291.3,996.0,YES
